"Extension","Description","Category","Format","Programming Language","Program Support"
".jsp","A JSP file is a server-generated web page. It is similar to an .ASP or .PHP file, but contains Java code instead of ActiveX or PHP. The code is parsed by the web server, which generates HTML that is sent to the user's computer.","Web Files","Text","Java Server Pages","Microsoft Internet Explorer, Mozilla Firefox, Google Chrome, Other Web browser, Adobe Dreamweaver 2020, ES-Computing EditPlus, Progress Stylus Studio, Richardson EditRocket, Eclipse IDE for Java Developers, Apple Safari, MacroMates TextMate"
".ico","An ICO file contains an icon, which is typically used to represent a Windows program, file, or folder. It stores one or more images in various sizes so they can be appropriately scaled depending on their use. ICO files are similar to .CUR files, which are also used in Windows, and .ICNS files, which are used in macOS.","System Files","Binary","Not Found","File Viewer Plus, Microsoft Photos, Microsoft Paint, Microsoft Paint 3D, IcoFX, Axialis IconWorkshop, Newera IconCool Editor, ACD Systems ACDSee Photo Studio, SibCode Sib Icon Editor, Program4Pc PC Icon Editor, IconEdit2, Inkscape, IvanView, GIMP, IrfanView, FastStone Image Viewer, Apple Preview, Lemkesoft GraphicConverter, Iconographer — Discontinued, Snap Converter, Google Photos, Google Drive, File Viewer for Android"
".exe","An EXE file contains an executable program for Windows. EXE is short for ""executable,"" and it is the standard file extension used by Windows programs. For many Windows users, EXE files are synonymous with Windows programs, making "".exe"" one of the most recognizable file extensions.","Executable Files","Binary","Not Found","Microsoft Windows, 7-Zip, RARLAB WinRAR, Parallels Desktop for Mac with Microsoft Windows installed, VMware Fusion with Microsoft Windows installed, Oracle VM VirtualBox with Microsoft Windows installed, CodeWeavers CrossOver, Wine, Kronenberg WineBottler, Xamarin Mono, WineHQ, Rare Ideas PortableApps.com Platform"
".csi","Source code file that may be referenced by other files within a ContentServ project; contains code that may include functions, variables, and other objects that can be used by other project files.","Developer Files","Text","Not Found","ContentServ CS EMMS Suite (requires Apache Web Server), Campbell Scientific EdLog"
".config","A CONFIG file is a configuration file used by various applications. It contains plain text parameters that define settings or preferences for building or running a program. CONFIG files are often referenced by software development programs to configure applications.","Developer Files","Text","Not Found","File Viewer Plus, Microsoft Visual Studio 2019, Adobe Dreamweaver 2020, Microsoft Notepad, Microsoft WordPad, Apple TextEdit, MacroMates TextMate"
".jpeg","A JPEG file is an image saved in a compressed graphic format standardized by the Joint Photographic Experts Group (JPEG). It supports up to 24-bit color and is compressed using lossy compression, which may noticeably reduce the image quality if high amounts of compression are used. JPEG files are commonly used for storing digital photos and web graphics.","Raster Image Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Photos, Microsoft Windows Photo Viewer, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, Adobe Illustrator 2021, Canvas X, ACD Systems ACDSee Photo Studio, CorelDRAW Graphics Suite 2021, Corel PaintShop Pro, Roxio Creator NXT Pro 7, IrfanView, Any web browser, Any image viewer program, Apple Preview, Apple Safari, Roxio Toast 18, MacPhun ColorStrokes, Mozilla Firefox, GIMP, Google Drive, Google Photos, File Viewer for Android"
".ashx","An ASHX file is a webpage that is part of an ASP.NET web server application. It contains references to other pages hosted on the web server that are sent to the user's web browser. ASHX files are processed by the server's ASP.NET HTTP Handler when a client web browser requests the page.","Web Files","Text","ASP","Microsoft Visual Studio 2019, Any web browser, Any text editor, MacroMates TextMate"
".log","A LOG file is a log used by various operating systems and programs. It typically contains a plain text log of certain events with their timestamps. LOG files may be created by the operating system to keep track of system events or by a software installation program to list location and names of installed files.","Text Files","Text","Not Found","File Viewer Plus, Microsoft Notepad, Other text editor, Apple Console, Apple TextEdit, File Viewer for Android, Avira Antivirus Pro"
".xls","An XLS file is a spreadsheet file created by Microsoft Excel or exported by another spreadsheet program, such as OpenOffice Calc or Apple Numbers. It contains one or more worksheets, which store and display data in a table format. XLS files may also store mathematical functions, charts, styles, and formatting.","Spreadsheet Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Excel 365, Corel Quattro Pro 2020, OpenOffice Calc, Kingsoft Spreadsheets, SoftMaker Office, Gnumeric, LibreOffice, Apple Numbers, Planamesa NeoOffice, Google Sheets, Google Drive, Polaris Office Web Sheet, Microsoft Office, Microsoft Excel, MobiSystems OfficeSuite Pro, Infraware Polaris Office, File Viewer for Android, Kingsoft WPS Office for Android, SoftMaker Office HD: PlanMaker BASIC"
".old","An OLD file is a backup copy of a file, such as a .JPG or .DOC file. It may be created automatically by a software program or created manually by a user to indicate that the file is a backup copy of a file.","Backup Files","N/A","Not Found","Original program"
".mp3","An MP3 file is an audio file saved in a compressed audio format developed by the Moving Picture Experts Group (MPEG) that uses ""Layer 3"" audio compression (MP3). MP3 files are commonly used to store audio tracks, podcasts, lectures, sermons, and audiobooks.","Audio Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Windows Media Player, Apple iTunes, Nullsoft Winamp, VideoLAN VLC media player, Roxio Creator NXT Pro 7, Audacity, Adobe Audition CC 2021, Apple Music, Roxio Toast 18, Eltima Elmedia Player, The GNOME Project Rhythmbox, XMMS, Amarok, Clementine, Audacious, Google Drive, olimsoft OPlayer, VideoLAN VLC for Mobile, File Viewer for Android, antvplayer Media Converter"
".com","A COM file is an executable program capable of being run by MS-DOS and Windows. It is saved in a binary format and is similar to an .EXE file, but differs in that it has a maximum size of roughly 64KB and it has no header or metadata. COM files are commonly used for executing a set of instructions whereas EXE files are used for fully developed programs.","Executable Files","Binary","DIGITAL Command Language","Microsoft Windows, Parallels Desktop for Mac with Windows installed, Wine, WineHQ"
".tar","A TAR file is an archive created by tar, a Unix-based utility used to package files together for backup or distribution purposes. It contains multiple files stored in an uncompressed format along with metadata about the archive. TAR files are commonly compressed into .GZ files with GNU Zip compression.","Data Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Smith Micro StuffIt Deluxe, Corel WinZip, RARLAB WinRAR, PeaZip, ESTSoft AlZip, 7-Zip, Zipeg, Apple Archive Utility, Corel WinZip Mac, Smith Micro StuffIt Deluxe Mac 16, Incredible Bee Archiver, The Unarchiver, GNU Tar, Keka, File Viewer for Android, RARLAB RAR"
".ini","An INI file is a configuration file used by Windows programs to initialize program settings. It contains sections for settings and preferences (delimited by a string in square brackets) with each section containing one or more name and value parameters.","Settings Files","Text","INI","File Viewer Plus, Microsoft Windows, Microsoft Notepad, Microsoft WordPad, Other text editor, Parallels Desktop for Mac with Windows installed, File Viewer for Android, Editable with a text editor, MakeMusic Finale, Gravis GIPC (Gravis to InterWave Patch Converter), FMJ-Software Awave Studio"
".asa","Contain object declarations, variables, constants, and functions that can be accessed by .ASP pages; often named Global.asa and accessed by multiple pages with in an ASP-based website; allows several pages to access the same functions and variables so they do not have to be rewritten for each page.","Web Files","Text","Not Found","Used by a Web server that supports ASP, Microsoft Notepad, Other text editor, MacroMates TextMate"
".tgz","A TGZ file is a Unix .TAR archive compressed with Gnu Zip (.GZIP) compression to reduce the file size. It is commonly used on Unix and Linux systems and was originally created as the shorthand version of the compound extension .TAR.GZ.","Compressed Files","N/A","Not Found","File Viewer Plus — Get it from Microsoft, Smith Micro StuffIt Deluxe, RARLAB WinRAR, Corel WinZip, 7-Zip, Zipeg, Apple Archive Utility, Corel WinZip Mac, Smith Micro StuffIt Deluxe Mac 16, Incredible Bee Archiver, tar, gunzip, pkgtool, File Viewer for Android, ZDevs ZArchiver"
".flv","An FLV file is a video file saved in the Adobe Flash Video (FLV) container format. It stores a short header, synchronized audio and video data streams (encoded the same way as streams in the standard Flash .SWF format), and metadata packets.","Video Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Adobe Flash Player — Discontinued, Adobe Animate CC 2019, Xilisoft Video Converter Ultimate, VideoLAN VLC media player, Media Player Classic, Nullsoft Winamp, RealNetworks RealPlayer 20/20, Eltima Elmedia Player, Apple QuickTime Player with Perian component, RealNetworks RealPlayer Cloud, RealNetworks RealTimes: Video Maker, BIT LABS Simple MP4 Video Player, antvplayer Media Converter, J2 Interactive MX Player, RealNetworks RealTimes Video Maker"
".bak","A BAK file is a backup of a Google Chrome or Mozilla Firefox bookmarks file, which can be used to replace saved bookmarks in case the main bookmarks file becomes corrupt. It is automatically generated by the Chrome or Firefox web browser and is typically named bookmarks.bak.","Backup Files","N/A","Not Found","Google Chrome, Mozilla Firefox, Autodesk AutoCAD 2022, Original program used to create the file, Swiftpage Act!, MakeMusic Finale, Wondershare MobileTrans, Re-Logic Terraria, Microsoft SQL Server 2019, MAGIX VEGAS Pro 18"
".rar","A RAR file is an archive that contains one or more files compressed with RAR compression. It uses a higher compression ratio than typical ZIP compression and incorporates a proprietary compression algorithm that is now used by other compressors, including 7-Zip for its .7Z files. RAR archives are used to compress files to reduce their size for transportation or storage purposes.","Compressed Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, RARLAB WinRAR, Corel WinZip, Smith Micro StuffIt Deluxe, 7-Zip, PeaZip, B1 Free Archiver, WinMount International WinMount, Whirling Dervishes Alpha ZIP, Free RAR Extract Frog, Corel WinZip Mac, Smith Micro StuffIt Deluxe Mac 16, Keka, Incredible Bee Archiver, The Unarchiver, Pengui Zhao Zip & RAR File Extractor, ComcSoft Corporation iZip, RARLAB RAR, ZDevs ZArchiver"
".asmx","Defines web services called by an Active Server Page (.ASP file); automatically compiled by ASP.NET when a request to the service is made; can be accessed over the Internet or from a local network.","Web Files","N/A","ASP","Microsoft Visual Studio 2019"
".xlsx","An XLSX file is an Excel spreadsheet created by Microsoft Excel or exported by another spreadsheet program, such as OpenOffice Calc or Apple Numbers. It stores data in worksheets, which contain cells arranged in a grid of rows and columns, and may also contain charts, mathematical functions, styles, and formatting. XLSX files are commonly used to store financial data and to save simple or complex mathematical models.","Spreadsheet Files","Zip","Not Found","File Viewer Plus — Get it from Microsoft, Microsoft Excel 365, Corel Quattro Pro 2020, OpenOffice Calc, SoftMaker Office, Gnumeric, LibreOffice, Apple Numbers, Planamesa NeoOffice, Google Sheets, Google Drive, Polaris Office Web Sheet, Intuit QuickBooks Canada, Microsoft Office, Microsoft Excel, MobiSystems OfficeSuite Pro, Infraware Polaris Office, File Viewer for Android, Kingsoft WPS Office for Android, SoftMaker Office HD: PlanMaker BASIC"
".dll","A DLL file is a compiled library that contains a set of procedures and/or drivers that are referenced and executed by a Windows program. It allows multiple programs to access shared functions through common libraries. DLL files are ""dynamically linked"" into a program at runtime, meaning they are only loaded when needed.","System Files","Binary","Not Found","Microsoft Windows, Microsoft Visual Studio 2019, JetBrains dotPeek, Redgate .NET Reflector, Resource Hacker, Any web browser"
".asax","File used by ASP.NET Web applications; contains program code that is used to respond to application-level events raised by ASP.NET or HttpModules; parsed and compiled at application runtime; used for handling events during application initialization and shutdown, as well as processing global exceptions and errors.","Web Files","Text","ASP","Microsoft Visual Studio 2019"
".msg","An MSG file is an item, such as an email message, contact, appointment, or task created or saved within Microsoft Outlook. It contains all the information about the item, which includes attachments to an email message. MSG files are primarily used by Outlook but are also supported by other programs that use Microsoft's Messaging Applications Programming Interface (MAPI).","Text Files","Binary","Not Found","File Viewer Plus, Microsoft Outlook 365, Encryptomatic MsgViewer Pro, EZ Freeware Free Opener, Mozilla SeaMonkey, eM Client, 45RPM MailRaider Pro, Aryson Mac MSG Converter, File Viewer for Android, Bethesda Softworks Fallout 1, Bethesda Softworks Fallout 2, Microsoft Notepad, Microsoft WordPad"
".pl","A PL file contains source code written in Perl, which is a scripting language that is compiled and run using a Perl interpreter. It contains lines of Perl program code with variables, operations, functions, and comments. PL files may be difficult to read due to the brief and compact nature of the Perl language syntax.","Developer Files","Text","Prolog","File Viewer Plus, Perl, Strawberry Perl, ActiveState ActivePerl, IndigoStar PerlEdit, Microsoft Notepad, ES-Computing EditPlus, Late Night Affrus — Discontinued, MacroMates TextMate, Bare Bones BBEdit, File Viewer for Android, SWI-Prolog, Strawberry Prolog, PDC Visual Prolog, BRL-CAD"
".csv","A CSV file is a comma-separated values file commonly used by spreadsheet programs such as Microsoft Excel or OpenOffice Calc. It contains plain text data sets separated by commas, with each new line in the CSV file representing a new database row and each database row consisting of one or more fields separated by a comma.","Data Files","Text","CSV","File Viewer Plus — Get it from Microsoft, Microsoft Excel 365, Corel Quattro Pro 2020, OpenOffice Calc, LibreOffice, Intuit Quicken, GenScriber, Microsoft Notepad, Microsoft Wordpad, Any text editor, Apple Numbers, Planamesa NeoOffice, Apple TextEdit, Google Sheets, FreshBooks, Intuit QuickBooks Canada, Sage One, Polaris Office Web Sheet, MobiSystems OfficeSuite Pro, Microsoft Excel"
".ppt","A PPT file is an editable slide show created by Microsoft PowerPoint or exported by another presentation program, such as OpenOffice Impress or Apple Keynote. It may include formatted text, bullet points, images, movies, sound effects, and music. PPT files are commonly built from one of many templates included with the PowerPoint software, but may also be created from scratch.","Data Files","Binary","Not Found","File Viewer Plus, Microsoft PowerPoint 365, Canvas X, Corel Presentations 2020, SoftMaker Office, OpenOffice Impress, Kingsoft Presentation, Ability Office, Apple Preview, Apple Keynote, Google Slides, Google Drive, Polaris Office Web Slide, Microsoft Office, Microsoft PowerPoint, MobiSystems OfficeSuite Pro, Infraware Polaris Office, File Viewer for Android, SoftMaker Office HD: Presentations BASIC, Kingsoft WPS Office for Android"
".nsf","Music file from an original Nintendo (NES/Famicom) game; allows music from Nintendo games to be played without loading the actual game; can be opened by a variety of NSF players.","Audio Files","N/A","Not Found","DeliPlayer, FamiTracker, VirtuaNES, Audio Overload, Nullsoft Winamp, Nestopia, XMMS with nsf-xmms plugin, FCEUX, Audacious, IBM Lotus Notes, IBM Domino — Discontinued, Stellar Converter for NSF, Aryson NSF to PST Converter, CubexSoft NSF Converter"
".bmp","A BMP file is an image saved in the Bitmap (BMP) raster image format developed by Microsoft. It contains uncompressed image data that supports monochrome and color images at variable color bit depths, along with image metadata. BMP files are commonly used for storing 2D digital photos.","Raster Image Files","Binary","Not Found","File Viewer Plus — Get it from Microsoft, Adobe Photoshop 2021, Adobe Photoshop Elements 2020, Adobe Illustrator 2021, Corel PaintShop Pro, CorelDRAW Graphics Suite 2021, Canvas X, Microsoft Photos, Microsoft Windows Photo Viewer, Microsoft Paint, Other image viewer, Apple Preview, Apple Photos, ACD Systems ACDSee Photo Studio for Mac, MacPhun ColorStrokes, Google Photos, Google Drive, File Viewer for Android"
